neuron,formula,iou,weight_entailment,weight_neutral,weight_contradiction
467,((NOT premise:outside) AND (hypothesis:humans OR hypothesis:outdoors OR hypothesis:outside OR hypothesis:wet)),0.28498074412345886,-0.01611328125,0.0106201171875,-0.02734375
923,(hypothesis:york OR (hypothesis:outdoors AND (NOT premise:striped)) OR (hypothesis:outside AND (NOT premise:striped)) OR (hypothesis:tall AND (NOT premise:striped))),0.2763157784938812,-0.01507568359375,0.0030517578125,-0.025146484375
1044,(hypothesis:indoors OR hypothesis:multiple OR hypothesis:outdoors OR hypothesis:outside OR premise:conversation),0.24106113612651825,-0.004302978515625,0.0016326904296875,0.040283203125
808,(hypothesis:indoors OR (hypothesis:outdoors AND (NOT hypothesis:building) AND (NOT premise:stand)) OR (hypothesis:outside AND (NOT hypothesis:building) AND (NOT premise:stand))),0.23763570189476013,-0.009765625,0.01507568359375,0.024658203125
1052,(hypothesis:animals OR hypothesis:multiple OR hypothesis:outdoors OR hypothesis:outside OR premise:chases),0.22960372269153595,-0.00130462646484375,0.0093994140625,0.007781982421875
1992,(hypothesis:asleep OR hypothesis:dead OR hypothesis:nap OR hypothesis:sleeping OR hypothesis:sleeps),0.22727273404598236,-0.007415771484375,0.001678466796875,0.00885009765625
1363,(hypothesis:2 OR hypothesis:indoors OR hypothesis:outdoors OR hypothesis:outside OR hypothesis:present),0.22197557985782623,-0.00445556640625,-0.003875732421875,-0.003692626953125
1426,(hypothesis:activity OR hypothesis:arts OR hypothesis:indoors OR hypothesis:outdoors OR hypothesis:outside),0.219069242477417,-0.01214599609375,0.004241943359375,-0.02001953125
1392,((NOT hypothesis:running) AND (hypothesis:multiple OR hypothesis:outdoors OR hypothesis:outside OR premise:filled)),0.21678321063518524,-0.01611328125,-0.013427734375,-0.028564453125
1740,(hypothesis:human OR hypothesis:indoors OR hypothesis:outdoors OR hypothesis:outside OR hypothesis:persons),0.2154696136713028,0.0361328125,0.017333984375,0.015869140625
1651,(hypothesis:asleep OR hypothesis:eats OR hypothesis:sleeping OR hypothesis:sleeps OR hypothesis:swimming),0.2122092992067337,0.01141357421875,0.0234375,0.00421142578125
1884,(hypothesis:indoors OR (hypothesis:outdoors AND (NOT premise:wearing)) OR (hypothesis:outside AND (NOT premise:wearing)) OR (hypothesis:wearing AND (NOT premise:wearing))),0.20717132091522217,-0.0194091796875,-0.0079345703125,-0.0296630859375
982,((NOT premise:stand) AND (hypothesis:indoors OR hypothesis:multiple OR hypothesis:outdoors OR hypothesis:outside)),0.20713463425636292,0.004241943359375,0.0023956298828125,-0.00506591796875
167,(hypothesis:blue OR hypothesis:brown OR hypothesis:shirt OR hypothesis:wearing OR hypothesis:white),0.20682522654533386,0.0159912109375,0.01556396484375,0.0218505859375
1065,(hypothesis:hat OR hypothesis:light OR hypothesis:shirt OR hypothesis:wearing OR premise:ribbon),0.20681817829608917,0.00994873046875,0.0026702880859375,0.0052490234375
1027,(hypothesis:multiple OR (hypothesis:outdoors AND (NOT hypothesis:playing) AND (NOT hypothesis:sitting)) OR (hypothesis:outside AND (NOT hypothesis:playing) AND (NOT hypothesis:sitting))),0.20147420465946198,-0.005889892578125,0.0047607421875,0.0179443359375
1683,(hypothesis:enjoying OR hypothesis:happy OR hypothesis:outdoors OR hypothesis:outside OR premise:surgery),0.1986531913280487,0.030029296875,-0.00750732421875,-0.0123291015625
356,(hypothesis:festival OR hypothesis:outdoors OR hypothesis:outside OR hypothesis:park OR premise:paint),0.1967545598745346,-0.0135498046875,0.01348876953125,0.0181884765625
1465,(hypothesis:moving OR (hypothesis:outdoors AND (NOT hypothesis:playing) AND (NOT premise:outside)) OR (hypothesis:outside AND (NOT hypothesis:playing) AND (NOT premise:outside))),0.19647355377674103,0.0361328125,0.0101318359375,-0.006591796875
1473,((NOT premise:outdoors) AND (NOT premise:outside) AND (hypothesis:indoors OR hypothesis:outdoors OR hypothesis:outside)),0.19434194266796112,0.0198974609375,-0.00689697265625,0.01373291015625
395,((NOT hypothesis:playing) AND (hypothesis:humans OR hypothesis:near OR hypothesis:outdoors OR hypothesis:outside)),0.19222688674926758,0.0091552734375,0.010498046875,-0.021484375
575,(hypothesis:asleep OR hypothesis:cat OR hypothesis:eating OR hypothesis:sleeping OR hypothesis:swimming),0.19006210565567017,-0.028076171875,0.0281982421875,-0.0021820068359375
1786,(hypothesis:black OR hypothesis:blue OR hypothesis:green OR hypothesis:wearing OR hypothesis:white),0.1899224817752838,0.0216064453125,-0.0002346038818359375,-0.0027618408203125
72,(hypothesis:indoors OR hypothesis:outdoors OR hypothesis:outside OR hypothesis:sleeping OR hypothesis:tv),0.18956871330738068,0.0164794921875,0.016357421875,0.0123291015625
2007,(hypothesis:asleep OR hypothesis:birthday OR hypothesis:eating OR hypothesis:nap OR hypothesis:sleeping),0.1887052357196808,0.0179443359375,0.05224609375,-0.00439453125
1663,((NOT hypothesis:playing) AND (NOT premise:stand) AND (hypothesis:looks OR hypothesis:outdoors OR hypothesis:outside)),0.18742723762989044,-0.00927734375,-0.0003414154052734375,-0.0096435546875
